title,abstract,doi,label
Planning Ahead: Dynamic Models Forecast Blue Whale Distribution With Applications For Spatial Management,"Resources in the ocean are ephemeral, and effective management must therefore account for the dynamic spatial and temporal patterns of ecosystems and species of concern. we focus on the south taranaki bight (stb) of new zealand, where upwelling generates productivity and prey to support an important foraging ground for blue whales that overlaps with anthropogenic pressure from industrial activities. we incorporate regional ecological knowledge of upwelling dynamics, physical-biological coupling and associated lags in models to forecast sea surface temperature (sst) and net primary productivity (npp) with up to 3 weeks lead time. forecasted environmental layers are then implemented in species distribution models to predict suitable blue whale habitat in the stb. models were calibrated using data from the austral summers of 2009-2019, and ecological forecast skill was evaluated by predicting to withheld data. boosted regression tree models skilfully forecasted sst (cv deviance explained = 0.969-0.970) and npp (cv deviance explained = 0.738-0.824). the subsequent blue whale distribution forecast models had high predictive performance (auc = 0.889), effectively forecasting suitable habitat on a daily scale with 1-3 weeks lead time. the spatial location and extent of forecasted blue whale habitat were variable, with the proportion of petroleum and mineral permit areas that overlapped with daily suitable habitat ranging from 0% to 70%. hence, the stb and these forecast models are well-suited for dynamic management that could reduce anthropogenic threats to whales while decreasing regulatory burdens to industry users relative to a traditional static protected area. synthesis and applications. we develop and test ecological forecast models that predict sea surface temperature, net primary productivity and blue whale suitable habitat up to 3 weeks in the future within new zealand's south taranaki bight region. these forecasts of whale distribution can be effectively applied for dynamic spatial management due to model foundation on quantified links and lags between physical forcing and biological responses. a framework to operationalize these forecasts through a user-driven application is in development to proactively inform conservation management decisions. this framework is implemented through stakeholder engagement, allows flexibility based on management objectives, and is amenable to improvement as new knowledge and feedback are received.",10.1111/1365-2664.13992,1.0
Transboundary Marine Protected Areas,"Countries exploiting transboundary natural resources face strong incentives to overexploit. this basic economic insight has been validated empirically where numerous resources such as water, forests, game, and fisheries are found to be in worse condition than those completely contained in single nations. attempts to solve this challenge through cross-country cooperation have been largely unsuccessful because competitive extraction is often more attractive than adhering to cooperative agreements. focusing on the fishery, we explore the game-theoretic economics of an alternative to cooperative arrangements, called a transboundary marine protected area (tmpa), which straddles both countries' waters. we derive the conditions under which it can improve profits and stock biomass, even in the presence of individually-rational non-cooperation across countries. strikingly, we find that well-designed tmpas have the potential to completely overcome non-cooperation across countries; this result is strongest for low growth rate species. a tmpa can earn higher harvest benefits for both countries, increase stocks in both countries, and in many cases, can even reproduce the fully cooperative outcome. (c) 2021 elsevier b.v. all rights reserved.",10.1016/j.reseneeco.2021.101239,1.0
Holistic Assessment Of Chwaka Bay'S Multi-Gear Fishery - Using A Trophic Modeling Approach,"East african coastal communities highly depend on marine resources for not just income but also protein supply. the multi-species, multi-gear nature of east african fisheries makes this type of fishery particularly difficult to manage, as there is a trade-off between maximizing total catch from all gears and species and minimizing overfishing of target species and the disintegration of the ecosystem. the use and spatio-temporal overlap of multiple gears in chwaka bay (zanzibar) has led to severe conflicts between fishermen. there is a general concern of overfishing in the bay because of the widespread use of small mesh sizes and destructive gears such as dragnets and spear guns. we constructed an ecopath food web model to describe the current trophic flow structure and fishing pattern of the bay. based on this model, we explored the impact of different gears on the ecosystem and the fishing community in order to give advice for gear based management in the bay. results indicate that chwaka bay is a productive, shallow water system, with biomass concentrations around the first and second trophic level. the system is greatly bottom-up driven and dominated by primary producers and invertebrates. the trophic and network indicators as well as the community energetics characterize chwaka bay as relatively mature. traps and dragnets have the strongest impact on the ecosystem and on the catches obtained by other gears. both gears potentially destabilize the ecosystem by reducing the biomass of top-down controlling key species (including important herbivores of macroalgae). the dragnet fishery is the least profitable, but provides most jobs for the fishing community. thus, a complete ban of dragnets in the bay would require the provision of alternative livelihoods. due to the low resource biomass of fish in the bay and the indication of a loss of structural control of certain fish groups, chwaka bay does not seem to provide scope for further expansion of the fishery. instead, we recommend an effort control of traps and a reduction in the use of dragnets, partially by redistributing them to the more profitable and less impacting gears (e.g. longlines, gillnets, handlines).",10.1016/j.jmarsys.2018.01.002,1.0
Assessing The Population-Level Conservation Effects Of Marine Protected Areas,"Marine protected areas (mpas) cover 3-7% of the world's ocean, and international organizations call for 30% coverage by 2030. although numerous studies show that mpas produce conservation benefits inside their borders, many mpas are also justified on the grounds that they confer conservation benefits to the connected populations that span beyond their borders. a network of mpas covering roughly 20% of the channel islands national marine sanctuary was established in 2003, with a goal of providing regional conservation and fishery benefits. we used a spatially explicit bioeconomic simulation model and a bayesian difference-in-difference regression to examine the conditions under which mpas can provide population-level conservation benefits inside and outside their borders and to assess evidence of those benefits in the channel islands. as of 2017, we estimated that biomass densities of targeted fin-fish had a median value 81% higher (90% credible interval: 23-148) inside the channel island mpas than outside. however, we found no clear effect of these mpas on mean total biomass densities at the population level: estimated median effect was -7% (90% credible interval: -31 to 23) from 2015 to 2017. our simulation model showed that effect sizes of mpas of <30% were likely to be difficult to detect (even when they were present); smaller effect sizes (which are likely to be common) were even harder to detect. clearly, communicating expectations and uncertainties around mpas is critical to ensuring that mpas are effective. we provide a novel assessment of the population-level effects of a large mpa network across many different species of targeted fin-fish, and our results offer guidance for communities charged with monitoring and adapting mpas.",10.1111/cobi.13782,1.0
Adapting The Steepness Parameter From Stock-Recruit Curves For Use In Spatially Explicit Models,"To inform the design of mpa networks and ensure that they will meet stated goals, spatially explicit metapopulation models are often used to simulate the response of fished species to mpa implementation. typically, such models are simply spatial extensions of traditional, nonspatial population models used in fisheries management. a common assumption used in making this transition is that r'(0), the slope at the origin of the nonspatial, population-wide egg-recruit relationship (often termed the steepness or compensation ratio), can be used to estimate alpha, the slope at the origin of the small-scale settler-recruit relationship used in spatially explicit models. this assumption is not always correct. in particular, the value of r'(0) often implicitly accounts for a variety of processes spanning the egg-recruit transition, including larval mortality and advection away from suitable habitat. if a spatial model accounts for some of those loss processes explicitly, such as by using an oceanographically realistic dispersal matrix, it becomes necessary to adjust the estimate of alpha upwards to avoid double-counting those losses. here i present a simple correction involving the dominant eigenvalue of the dispersal matrix that adjusts the value of r'(0) to avoid this error. applying this correction factor ensures that a spatially explicit model will predict population collapse at the same level of fishing implied by a large-scale estimate of r'(0). (c) 2009 elsevier b.v. all rights reserved.",10.1016/j.fishres.2009.12.008,0.0
Modelling The Great Australian Bight Ecosystem,"The great australian bight research program has generated extensive new knowledge about the great australian bight (gab) system. integrating disparate datasets (including old and new knowledge) is a challenge for any location, but is increasingly important given the expansion of the marine industries constituting the blue economy. this is particularly so when industries operate in frontier, or remote regions with high conservation significance. ecosystem models are an integration tool that can give insight into the structure and function of marine systems and act as a testbed for exploring scenarios of development for the region. two of the most widely used ecosystem models (atlantis and ecopath with ecosim) were implemented for the gab, to allow an exploration of development scenarios and to provide tools in support of future management of the gab's socioecological systems. the models were used to evaluate the vulnerability of key species, food webs, habitats and animal groupings to ecosystem stressors such as climate change, fisheries, disease, changing spatial management, aquaculture and oil spills. the models' responses to cessation of fishing indicate that the anthropogenic signature is not 'untouched', but is not yet substantially degraded. the complexity and confined area of much of the natural and anthropogenic activity in the region, which is highly concentrated in the gulfs and along the shoreline, means the system is sufficiently interlinked for cumulative nonlinear outcomes to occur if the system is sufficiently stressed. scenarios of increased fishing pressure had the greatest impacts on individual functional groups, while scenarios of ocean warming had the greatest influence on ecosystem structure and integrity. oil spill scenarios (e.g. caused by potential off-shore shipping accidents) had potential impacts on seabirds, pelagic fishes and marine mammals, with flow-on effects to the whole ecosystem, but only in a confined area immediately around the incident's footprint. these results give scientists and managers insights into how expanding the blue economy could impact ecosystem services and the societies currently dependent on them. this work also provides a set of tools for the gab that can act as a launch point for systems analysis and can facilitate future assessments or planning for the region.",10.1016/j.dsr2.2018.11.002,1.0
Retrospective Analysis Of Measures To Reduce Large Whale Entanglements In A Lucrative Commercial Fishery,"Recovering marine animal populations and climate-driven shifts in their distributions are colliding with growing ocean use by humans. one such example is the bycatch of whales in commercial fishing, which poses a significant threat to the conservation and continued recovery of these protected animals and is a major barrier to sustainable fisheries. long-lasting solutions to this problem need to be robust to variability in ecological dynamics while also addressing socio-cultural and economic concerns. we assessed the efficacy of gear reductions as an entanglement mitigation strategy during 2019 and 2020 in the highly valuable dungeness crab fishery (washington state, usa) in terms of changes in the entanglement risk to protected blue and humpback whales, and in terms of economic consequences for the fishery. using a combination of fishery logbooks, landings data, and whale habitat models, we found that in the two seasons with mandatory crab pot reductions, entanglement risk was reduced by up to 20 % for blue whales, and 78 % for humpback whales, compared to seasons with no regulations. spatio-temporal variability in the distribution of each whale species was a key factor in determining risk. importantly, the conservation measure did not have a substantial negative effect on fleet-level fishery performance metrics, despite a reduction in fishing effort. results indicated that a simple, fixed management strategy achieved the desired conservation goals in an economically sustainable way. our findings underscore the value of carefully considering the dynamic nature of species' spatial distributions and key social and economic impacts that together determine conservation efficacy.",10.1016/j.biocon.2022.109880,1.0
Guidelines For Incorporating Fish Distribution Shifts Into A Fisheries Management Context,"The impacts of climate change have been demonstrated to influence fisheries resources. one way climate has affected fish stocks is via persistent shifts in spatio-temporal distribution. although examples of climate-forced distribution shifts abound, it is unclear how these shifts are practically accounted for in the management of fish stocks. in particular, how can we take into account shifting stock distribution in the context of stock assessments and their management outputs? here, we discuss examples of the types of fish stock distribution shifts that can occur. we then propose a decision tree framework of how shifting stock distributions can be addressed. generally, the approaches for addressing such shifts fall into one of three main alternatives: re-evaluate stock identification, re-evaluate a stock unit area, or implement spatially explicit modelling. we conclude by asserting that the approach recommended here is feasible with existing information and as such fisheries managers should be able to begin addressing the role of changes in stock distribution in these fish stocks. the implications of not doing so could be notably undesirable.",10.1111/j.1467-2979.2010.00398.x,1.0
Management Of An Annual Fishery In The Presence Of Ecological Stress: The Case Of Shrimp And Hypoxia,"The emergence of ecosystem-based management suggests that traditional fisheries management and protection of environmental quality are increasingly interrelated. fishery managers, however, have limited control over most sources of marine and estuarine pollution and at best can only adapt to environmental conditions. we develop a bioeconomic model of optimal harvest of an annual species that is subject to an environmental disturbance. we parameterize the model to analyze the effect of hypoxia (low dissolved oxygen) on the optimal harvest path of brown shrimp, a commercially important species that is fished in hypoxic waters in the gulf of mexico and in estuaries in the southeastern united states. we find that hypoxia alters the qualitative pattern of optimal harvest and shifts the season opening earlier in the year: more severe hypoxia leads to even earlier season openings. failure to adapt to hypoxia leads to greater losses when the effects of hypoxia are more severe. however, rent gains from adapting fishery management to hypoxia are relatively small compared to rent losses from the hypoxia effect itself. this suggests that it is critical for other regulatory agencies to control estuarine pollution, and fishery managers need to generate value from the fishery resources through other means such as rationalization. (c) 2010 elsevier b.v. all rights reserved.",10.1016/j.ecolecon.2010.11.003,1.0
Preliminary Assessment Of Pcb Risks To Human And Ecological Health In The Lower Passaic River,"Concentrations of aroclor mixtures and specific polychlorinated biphenyl (pcb) congeners were measured in surface sediments and aquatic biota (striped bass fillet, mummichog, and blue crab muscle and hepatopancreas) collected from the lower passaic river. several of the 47 surface sediment samples contained aroclor concentrations that exceeded a national oceanic and atmospheric administration (noaa) benchmark level for ''total pcbs'' (22.7 mu g/kg). each of the 18 pcb congeners analyzed in aquatic biota was detected in one or more tissue samples, and numerous congeners were detected in every sample (iupac numbers 77, 105, 114, 118, 123, 126, 156, 157, 167, and 1891. pcb congener concentrations were similar to those that have been reported in fish from other waterways that contain elevated levels of pcbs. congener 118 was present at the highest concentration in almost all samples, and constituted 14-60% of the total pcb mass (sum of all congener masses) measured in any given tissue sample. in spite of the prevalence of pcb congeners in biota tissues (up to 1314 mu g/kg total pcbs), aroclors were not detected in bass or crab samples at a limit of detection of 33-55 mu g/kg. this anomaly may be due to selective degradation of certain pcb congeners that are used to analytically recognize and quantitate aroclors. using the measured sediment concentrations, a food web model accurately predicted blue crab muscle concentrations of individual pcb congeners (typically within a factor of two) and was also fairly accurate for mummichog (typically within an order of magnitude). concentrations in striped bass fillet were underestimated by factors of approximately 20-140. increased cancer risk estimates associated with fish and crab consumption were obtained using four different methods. using aroclor tissue concentrations lone-half the limit of detection) and an aroclor slope factor, total risks were 2.6 x 10(-6); using the ''total pcbn measurements and an aroclor slope factor, total risks were 1.9 x 10(-5); the ''pcb-teq'' method yielded total risks of 6.5 x 10(-4); and usepa's recent suggested approach for evaluating ''dioxin-like'' and non-''dioxin-like'' effects resulted in a total risk of 6.6 x 10(-4). this wide range in risk estimates indicates that ii ii; critical to the risk management decision-making process that data requirements and risk assessment objectives be carefully evaluated early in the investigation process.",10.1080/009841097159700,0.0
